RPTID,NAME,DATETIME_OF_INCIDENT,STATE,COUNTY,CITY,OFFSHORE,LAT_LONG_OFFSHORE,SYSTEM_INVOLVED,ITEM_INVOLVED,INSTALLATION_YEAR,CAUSE,CAUSE_DETAILS,PRPTY,COMM,TOTAL_BBLS,IGNITE_IND,EXPLODE_IND,PIPE_DIAMETER,MAX_OP_PRESSURE,PRESSURE_AT_TIME_INCIDENT,INCIDENT_AREA_TYPE,AREA_OF_CORROSION,CAUSE_OUTSIDE_FORCE,PREVENTATIVE,FATALITIES
19850142,CHEVRON PIPELINE CO,19851011,TX,JEFFERSON,TOWN OF WINNIE,No, ,LINE PIPE,PIPE,1958,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,26000,GASOLINE,200,No,No,8,1472,50,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850143,CENTRAL FLORIDA PIPELINE CORP,19851204,FL,POLK,LAKE ALFRED,No, ,LINE PIPE,PIPE,1973,FAILED PIPE,PIPE FAILURE DUE TO DAMAG,20000,GASOLINE,894,No,No,11,900,400,BELOW GROUND,NO DATA,NO DATA,Null,0
19850144,MOBIL PIPELINE CO,19851115,CA,LOS ANGELES, ,No, ,PUMPING STATION,NO DATA,1984,OTHER,FAILURE OF NIPPLE AT THRE,300,CRUDE OIL,60,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850145,MOBIL PIPELINE CO,19851123,TX,WEBB, ,No, ,NO DATA,PIPE,1926,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,15000,CRUDE OIL,360,No,No,8,555,5,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850146,PLANTATION PIPE LINE CO,19850909,GA,DOUGLAS, ,No, ,TANK FARM,NO DATA,0,MALFUNCTION OF CONTROL OR RELIEF EQUIPMENT, ,29000,TURBINE FUEL,931,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850147,MID - CONTINENT PIPELINE CO,19851108,OK,SEMINOLE, ,No, ,TANK FARM,TANK,1947,CORROSION,"CORROSION, EXTERNAL",0,,580,No,No,0,0,0,NO DATA,EXTERNAL,NO DATA,Null,0
19850148,AMOCO PIPELINE CO,19851113,MN,DOUGLAS, ,No, ,LINE PIPE,PIPE,1947,CORROSION,"CORROSION, EXTERNAL",0,GASOLINE,1,No,No,8,1440,700,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19850149,MOBIL PIPELINE CO,19851125,TX,HOWARD,BIG SPRING,No, ,LINE PIPE,PIPE,1927,CORROSION,"CORROSION, EXTERNAL",10000,CRUDE OIL,76,No,No,8,675,250,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19850150,CHEVRON PIPELINE CO,19851214,TX,WINKLER, ,No, ,LINE PIPE,NO DATA,1929,CORROSION,"CORROSION, EXTERNAL",300,CRUDE OIL,570,No,No,8,900,532,ABOVE GROUND,EXTERNAL,NO DATA,Null,0
19850151,OLYMPIC PIPE LINE CO,19851128,WA,KING, ,No, ,TANK FARM,NO DATA,1970,INCORRECT OPERATION BY OPERATOR PERSONNEL,INCOMPLETE CLOSURE OF 1',1000000,JET FUEL,745,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850152,LAKEHEAD PIPE LINE CO INC,19851014,MI, ,MARYSVILLE,No, ,LINE PIPE,PIPE,1969,CORROSION,"CORROSION, EXTERNAL",900000,CRUDE OIL,10,No,No,30,624,185,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19850153,WEST TEXAS GULF PIPELINE CO,19851029,TX,EASTLAND, ,No, ,LINE PIPE,PIPE,1952,OTHER,DAMAGE BY OTHERS,3500,CRUDE OIL,50,No,No,26,750,400,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850154,BUCKEYE PIPELINE CO LP,19851028,OH,LUCAS, ,No, ,PUMPING STATION,PIPE,1940,INCORRECT OPERATION BY OPERATOR PERSONNEL, ,400000,FUEL OIL,100,No,No,0,0,50,NO DATA,NO DATA,NO DATA,Null,0
19850155,MINNESOTA PIPELINE CO,19851107,MN,ANOKA,BURNS,No, ,LINE PIPE,PIPE,1954,OUTSIDE FORCE DAMAGE,DAMAGE BY OPERATOR OR ITS CONTRACTOR,0,CRUDE OIL,5980,No,No,16,1250,325,BELOW GROUND,NO DATA,DAMAGE BY OPERATOR OR ITS CONTRACTOR,Yes,0
19850156,ARCO PIPE LINE CO,19851019,OK,SEMINOLE,WOLF,No, ,LINE PIPE,PIPE,1928,CORROSION,"CORROSION, INTERNAL",600,CRUDE OIL,60,No,No,8,425,150,BELOW GROUND,INTERNAL,NO DATA,Null,0
19850157,HYDROCARBON TRANSPORTATION INC,19851109,NE,OTOE, ,No, ,PUMPING STATION,VALVE,1982,MALFUNCTION OF CONTROL OR RELIEF EQUIPMENT, ,250,NATURAL GAS LIQUID,25,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850158,GULF CENTRAL PIPELINE CO,19851028,IA,LEE,FT. MADISON,No, ,NO DATA,NO DATA,1980,OTHER,EXCESSIVE FORCE,0,ANHYDROUS AMMONIA,2,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850159,CONTINENTAL PIPELINE CO,19851101,OK,CLEVELAND,NORMAN,No, ,LINE PIPE,PIPE,1954,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,6000,CRUDE OIL,1451,No,No,12,1300,600,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850160,MOBIL PIPELINE CO,19851017,KS,SEDGWICK,VALLEY CENTER,No, ,PUMPING STATION,NO DATA,1942,OTHER,FAILURE OF VICTAULIC,700,CRUDE OIL,145,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
