REPORT_NUMBER,NAME,DATETIME_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,CLASS_TXT,LOSS,RECOV,SPUNIT,SPUNIT_TXT,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,NOMINAL_PIPE_SIZE_IN,PIPE_DIAMETER,INSTALLATION_YEAR,AGE_OF_FACILITY,RELEASE_TYPE,LEAK_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,DETECTED,WATER_CONTAM_IND,CAUSE,,,MPVST,SURNO,TELRN,TELDT,PPPRP,EMRPRP,ENVPRP,OPCPRP,OPCPRPO,PRODPRP,OPPRP,OOPPRP,OOPPRPO,SPILLED,CLASS,GEN_CAUSE,LINE_SEG,IFED,INTER,OFFAREA,BNUMB,OFFST,OCS,OPPROP,PIPEROW,HCA,HCADESC,SYSPRT,SYSPRT_TXT,SYSPRTO,FAIL_OC,FAIL_OCO,INC_PRS,MOP,LRTYPE,LRTYPEO,LEAK,PUNC_DIAM,RUPTURE,RUPTURE_TXT,RUPLN,PROPLN,UBLKVM,UBLKVA,UBLKVR,UBLKVC,DBLKVM,DBLKVA,DBLKVR,DBLKVC,SEGISO,VLVDIST,SEGCONF,INLINE,INLINE_TXT,DRHRMF,DRHRMFY,DRLRMF,DRLRMFY,DRUT,DRUTY,DRGEO,DRGEOY,DRCAL,DRCALY,DRCRK,DRCRKY,DRHARD,DRHARDY,DROTH,DROTHY,WALLTHK,SPEC,SMYS,SEAM,VALVE,MANU,MANYR,LOCLK,EFAT,NFAT,GPFAT,EINJ,NINJ,GPINJ,SHUTDAY,SHUTHR,SHUTMIN,EVAC,EVACNO,EVAC_REASON,EVAC_REASON_TEXT,STHH,STMN,IMPACT,REMEDIAL,RSURFACE,RGROUND,RSOIL,RVEG,RWILD,AMT_IN_WATER,OCEAN,SURFACE,GROUNDW,DRINK,DRINKSRC,DRINKSRC_TXT,COMP_BASED,DETECTED,DETECTEDO,DURLEAK_DAY,DURLEAK_HR,CAUSE,CAUSE_TXT,PIPE_COAT,PIPE_COAT_TXT,VIS_EXAM,VIS_EXAM_TXT,VIS_EXAMO,COR_CAUSE,COR_CAUSE_TXT,COR_CAUSEO,PROT,CPYR,PREV_DAM,PREV_DAM_YR,PREV_DAM_MO,PREV_DAM_UK,EARTH_MOVE,EARTH_MOVE_TXT,EARTH_MOVEO,FLOODS,FLOODS_TXT,FLOODSO,TEMPER,TEMPER_TXT,TEMPERO,THIRD_PARTY_GRP,THIRD_PARTY_GRP_TXT,THIRD_PARTY_TYPE,THIRD_PARTY_TYPE_TXT,THIRD_PARTY_TYPEO,EXCAV_TYPE,EXCAV_TYPE_TXT,EXCAV_ON,EXCAV_LAST_CONTACT,NOTIF,NOTIF_DATE,NOTIF_RCVD_TXT,MARKED,TEMP_MARK,TEMP_MARK_TXT,PERM_MARK,ACC_MARK,ACC_MARK_TXT,MKD_IN_TIME,FIRE_EXPLO,FIRE_EXPLO_TXT,PIPE_BODY,PIPE_BODY_TXT,PIPE_BODYO,COMPONENT,COMPONENT_TXT,COMPONENTO,JOINT,JOINT_TXT,JOINTO,BUTT,BUTT_TXT,BUTTO,FILLET,FILLET_TXT,FILLETO,PIPE_SEAM,PIPE_SEAM_TXT,PIPE_SEAMO,FAIL_TYPE,FAIL_TYPE_TXT,CONS_DEF,CONS_DEF_TXT,PIPE_DAMAGE,PRS_TEST,TEST_DATE,TEST_MED,TEST_MED_TXT,TEST_MEDO,TEST_TP,TEST_PRS,MALFUNC,MALFUNC_TXT,MALFUNCO,THREADS,THREADS_TXT,THREADSO,SEAL,SEAL_TXT,SEALO,IO_TYPE,IO_TYPE_TXT,IO_TYPEO,IO_DRUG,IO_ALCO,MISC,UNKNOWN,UNKNOWN_TXT,PNAME,PTEL,PEMAIL,PFAX,NARRATIVE
20020037,"TE PRODUCTS PIPELINE CO., LP",1/23/2002,34 45' 18,92 11' 57,GASOLINE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,50,45,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,510,,,,MATERIAL AND/OR WELD FAILURES,,,,,,,0,0,0,0,,10,0,500,CLEAN UP COSTS,YES,1,5,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLYNN STOUT,7137593614,JPSTOUT@TEPPCO.COM,7137593931,
20020038,"EQUISTAR CHEMICALS, L.P.",1/27/2002,29 42' 31.86,95 15' 9.0,HYDRODESULFURIZED LIGHT NAPHTHA,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",20,0,2,GALLONS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,24,BOLTED FITTING,16,,1976,,,,98242,YES,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,OTHER,,,LYONDELL/CITGO REFINERY,,592354,1/27/2002,0,68000,20231,0,,11,0,10000,REPAIRS,YES,3,8,LCR FEEDSTOCK  TANK 613A,NO,INTRASTATE,,,,NO,YES,NO,YES,HIGH POPULATION & DRINKING AREAS,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,12,,308,285,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.25,A4380,65000,ERW,GATE & CHECK,AMERICAN STEEL,1976,4,0,0,0,0,0,0,3,0,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,3,,0,7,22,RUPTURED OR LEAKING SEAL/PUMP PACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GASKET,,,,,,,,,,GREG LEBLANC,7138446942,GREGORY.LEBLANC@EQUISTARCHEM.COM,7138446942,"REGARDING PART C5:  SECTIONS OF THIS LINE WERE BLOCKED IN DUE TO WORK DOWNSTREAM TO IDENTIFY A LEAK WITHIN THE SAME PIPELINE EASEMENT.  DURING THE DAYLIGHT HOURS, THE SUNLIGHT WAS SUFFICIENT TO HEAT THE PIPELINE AND ITS CONTENTS CAUSING AN OVERPRESSURE CONDITION FOR A DURATION OF 2.5 HOURS.  ACCORDING TO PRESSURE TRANSMITTER READINGS RECORDED PER MINUTE, THE LEAK APPEARS TO HAVE OCCURRED IN THE FIRST FIVE MINUTES OF THE OVERPRESSURE CONDITION.  THE LINE PRESSURE WAS RECORDED AT ZERO PSIG 6.5 HOURS LATER, INDICATING THAT THE LINE HAD BEEN BLOCKED AT THAT TIME.  THE LEAK WAS ASSUMED TO OCCUR OVER THE ENTIRE 6.5 HOUR DURATION.  REGARDING PARTS H5 A-G:  THE ORIGINAL CONSTRUCTION DOCUMENTATION IS NOT AVAILABLE FOR REFERENCE DUE TO SEVERAL OWNERSHIP CHANGES FOR THIS LINE.  IN LIGHT OF THIS FACT, THE WORST CASE SCENARIO OF NO PRESSURE TESTING DURING THE ORIGINAL CONSTRUCTION IS ASSUMED.  UPON EXCAVATION OF THIS FLANGE JOINT, IT WAS DISCOVERED THAT THE CONNECTION HAD NOT BEEN PROPERLY TIGHTENED TO SPECIFIED TORQUE REQUIREMENTS.  SUBSEQUENTLY, NINE OTHER CONNECTIONS WERE EXCAVATED AND ALSO FOUND TO BE INADEQUATELY TIGHTED.  ALL TEN AFFECTED FLANGE CONNECTIONS WERE REPAIRED AND CORRECTLY TIGHTENED."
20020039,MOBIL PIPELINE CO,1/24/2002,33.03.607,097.35.244,CRUDE OIL,CRUDE OIL,10,9,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,,BOLTED FITTING,,,1987,,,,47670,YES,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,INCORRECT OPERATION,,,MP 98.49,,592538,1/29/2002,150,500,0,0,,20,0,47000,COST OF ENVIRONMENTAL REMEDIATION,YES,4,7,,NO,INTERSTATE,,,,NO,YES,NO,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,12,,700,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,10,0,0,NO,,,,0,15,NO,YES,NO,NO,YES,NO,NO,2,NO,YES,NO,NO,,,YES,3,,0,1,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,INADEQUATE PROCEDURES,,0,0,,,,STEVEN J ROBENOLT,7136562651,STEVEN.J.ROBENOLT@EXXONMOBIL.COM,7136568232,"ON JANUARY 24,2002 MOBIL PIPELINE COMPANY INCURRED A 10 BARREL LEAK RESULTING FROM A LEAKING GASKET.  CONTRIBUTARY CAUSE OF THE LEAKING GASKET WAS AN INCREASED PRESSURE ON STATION PIPING DUE TO IMPROPER VALVE ALIGNMENT.  THIS LEAK WAS ON STATION PIPING.  THE MOP OF THE MAINLINE SYSTEM WAS NOT EXCEEDED AT ANY TIME DURING THIS INCIDENT.  ON THE DATE THE LEAK OCCURRED THE TEXAS RAILROAD COMMISSION, OIL AND GAS DIVISION WAS NOTIFIED IN A TIMELY MANNER AND THE LEAK WAS THOUGHT TO BE CONTAINED.  IT WAS LATER DISCOVERED THAT THE LEAK LEFT THE CONTAINMENT AND DID REACH WATER AS IT WAS RAINING HEAVILY.  A TELEPHONIC REPORT WAS MADE TO THE NRC."
20020040,CHEVRON PIPELINE CO,1/7/2002,, ,CRUDE OIL,CRUDE OIL,2,2,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,3000,,,,EQUIPMENT,,,T27S-R21E-SEC 3,,,1/7/2002,0,0,0,0,,0,2000,1000,CLEAN UP,YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R A THORPE,2815963571,RATHORPE@CHEVRONTEXACO.COM,2815963641,
20020041,"KINDER MORGAN ENERGY PARTNERS, L.P.",1/23/2002,,,PROPANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,2662,,,,EQUIPMENT,,,,LINE 101 - UNIT 1 - UNADI,,,0,0,0,0,,42,0,2620,REPAIRS & LABOR,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAIME A HERNANDEZ,7133699443,JAIME_HERNANDEZ@KINKDERMORGAN.COM,7134953767,
20020042,CHEVRON PIPELINE CO,1/7/2002,,,GASOLINE & DIESEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",950,0,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,36,GIRTH WELD,8,,1954,,OTHER,,76000,NO,CPM/SCADA-BASED SYSTEM WITH LEAK DETECTION,NO,MATERIAL AND/OR WELD FAILURES,,,MP 88.8 TSP17S-R1E-BLK 9,,590400,1/7/2002,0,0,0,0,,25000,1000,50000,CLEAN UP,YES,3,5,8,YES,INTERSTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,13,,1470,1715,4,4-Jan,,,,,,,YES,NO,NO,NO,YES,NO,NO,NO,316800,168960,YES,1,YES,NO,,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,,0.25,X42 ERW,42000,SEAMLESS,,,,4,0,0,0,0,0,0,0,8,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,1,,3,0,17,BUTT WELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PIPE,,,,,,,,1,CONSTRUCTION DEFECT,1,POOR WORKMANSHIP,NO,YES,5/12/1982,1,WATER,,11,1900,,,,,,,,,,,,,,,,,,R A THORPE,2815963571,RATHORPE@CHEVRONTEXACO.COM,2815963641,"A RELEASE OCCURED IN A REMOTE AREA ON THE 8"" EL PASO TO ALBUQUERQUE PRODUCTS SYSTEM @ MILEPOST 89. ON 01/05/02 @ 09:00 AM MST , A CHEVRON PIPE LINE, CUSTOMER SERVICE CENTER CONTROLLER, NOTIFIED EL PASO TEAM LEADER OF A POSSIBLE PROBLEM ON EL PASO-ALBUQUERQUE PRODUCT SYSTEM. THE CONTROLLER WAS CONCERNED WITH THE THE ""OVER/SHORT"" VOLUMES ON THE SYSTEM. THE LINE WAS FLOWN, BUT NO PRODUCT RELEASE WAS FOUND BY THE AERIAL SURVEILLANCE PILOT. THE PILOT ONLY OBSERVED WHAT HE TOUGHT WAS A SMALL RELEASE OF WATER FROM A RANCHER'S WATER SYSTEM. IT WASN'T UNTIL 01/07/02 @ 11:25AM THAT THE PRODUCT RELEASE WAS DISCOVERED AT 89 MILES NORTH OF EL PASO (TSP17S R1E BLOCK 9). THE PIPELINE WAS SHUTDOWN AT THAT POINT. AN INVESTIGATION WAS INITIATED AND NOTIFICATIONS TO AGENCIES WERE MADE WITH PRELIMINARY RELEASE VOLUME ESTIMATES. THE FINAL VOLUMES WERE DETERMINED TO BE 250 BBLS OF DIESEL AND 700 BBLS OF UNLEADED GASOLINE. NO PRODUCT WAS RECOVERED IN THE CONVENTIONAL MEANS. RESIDUAL SOIL CONTAMINATION WILL BE CLEANED UP.    IT WAS DETERMINED THAT THE CAUSE FOR THE RELEASE WAS A PIPE WELD FAILURE. THE WELD WAS MADE DURING THE ORIGINAL CONSTRUCTION  IN 1954. THE POTENTIAL PROBLEM WAS NOT DETECTED IN THE LATEST IN-LINE TOOL INSPECTION, CONDUCTED ON THIS LINE IN 2000.    AGENCIES NOTIFIED: NRC CONTACTED 1/7/02 @ 2:00 PM (OFFICER TRUMAN - RPT # 590400). NM DEPT. OF ENVIRO CONTACTED @ 2:45 PM (RUDY ALVAREZ) DEPT OF HAZ WASTE WAS ALSO NOTIFIED (RON TRUEBLOOD)."
20020043,EXPLORER PIPELINE CO,3/4/2002,"N 29,43,03","W 95,10,49",TRANSMIX(GASO/FUEL OIL/JET FUEL MIX),"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",21,20,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,1201,,,,INCORRECT OPERATION,,,"28"" MP0.0 PASADENA STATIO",,,,0,1000,200,0,,1,0,0,,YES,3,7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROGER W FLEMING,9184935112,rfleming@expl.com,9184935177,
20020044,ENBRIDGE PIPELINES (NORTH DAKOTA) INC,2/12/2002,,,CRUDE OIL,CRUDE OIL,10,5,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,2000,,,,EQUIPMENT,,,,MINOT STATION,593772,2/12/2002,0,0,0,0, ,0,0,2000,LABOR & DISPOSAL,YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARY BLOWERS,7018570806,GARY.BLOWERS@ENBRIDGE-US.COM,7018570809,
20020045,MID - AMERICA PIPELINE CO (MAPCO),1/29/2002,N 37.23234804,W 99.70684729,PROPANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,7500,0,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,61,BODY OF PIPE,8,,1962,,LEAK,PUNCTURE,145693,NO,A THIRD PARTY,NO,EXCAVATION DAMAGE,,,MP 84.4,,592520,1/29/2002,0,52000,0,0,,92693,1000,0,,YES,1,3,FARMINGTON LATERAL,NO,INTRASTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,300,1300,1,,3,15,,,,,YES,NO,NO,NO,YES,NO,NO,NO,72171,72171,YES,2,NO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.16,API 5L,52000,LF ERW,,STUPP CORP,1962,4,0,0,0,0,0,0,2,12,0,YES,30,2,REQUIRED OR INITIATED BY PUBLIC OFFICIAL,19,55,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,6,,2,12,9,THIRD PARTY EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,3,EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR,12,OTHER,DRAIN TILE EXCAVATOR,1,OPEN TRENCH,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNETH L LYBARGER,9185730350,KENNETH.LYBARGER@WILLIAMS.COM,9185731183,"AN EXCAVATOR, INSTALLING DRAIN TILE, HIT AND PUNCTURED THE LINE. THE EXCAVATOR DID NOT CALL THE ILLINOIS ONE-CALL AGENCY, SO THE LINE WAS NOT MARKED AND THE COMPANY WAS NOT ABLE TO HAVE PERSONNEL AT THE SITE TO PREVENT THE DAMAGE. UPON NOTIFICATION THAT THE LINE WAS PUNCTURED, THE LINE WAS SECURED BY CLOSING THE VALVES ON EITHER SIDE OF THE PUNCTURE, IN ACCORDANCE WITH COMPANY PROCEDURES, AN INCIDENT COMMAND WAS ESTABLISHED AND A SAFETY ZONE WAS ESTABLISHED. AS A PRECAUTION 30 PERSONS WERE EVACUATED UNTIL LINE WAS REPARED WITH PRE-TESTED PIPE AND RETURNED TO SERVICE AT 100 HOURS ON JANUARY 31."
20020046,CINIZA PIPELINE INC,2/13/2002,36 02.635 N,107 36.852W,CRUDE OIL,CRUDE OIL,12,0,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,OTHER,,,1981,,,,5892,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,CORROSION,,,,STAR LAKE STATION,593977,2/13/2002,0,4800,900,0,,192,0,0,,YES,4,1,STAR LAKE STATION,YES,INTRASTATE,,,,NO,YES,NO,NO,,1,ABOVE GROUND STORAGE TANK,,14,STORAGE TANK,15,1110,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,,,,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,3,,,,2,"CORROSION, INTERNAL",,,1,LOCALIZED PITTING,,8,OTHER,NO TANK FLOOR COATING.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROY ARMENTA,5056328006,RARMENTA@GIANT.COM,5056324021,"AT 9:15 A.M. ON FEBRUARY 13, 2002, A CINIZA PIPE LINE OPERATOR DISCOVERED CRUDE OIL LEAKING FROM THE ABOVEGROUND STORAGE TANK AT STAR LAKE STATION. THE TANK MIXER WAS TURNED OFF AND THE STATION WAS BYPASSED. OUR MAINTENANCE CREW WAS NOTIFIED, AND SMALL SUMPS WERE INSTALLED AROUND THE TANK TO CATCH THE CRUDE OIL SEEPING FROM UNDER THE TANK. THE OIL WAS PUMPED FROM THE SUMPS BACK INTO THE TANK. THE TANK WAS EMPTIED AND IS CURRENTLY BEING CLEANED FOR INSPECTION AND REPAIR."
